"Country or Area","Year(s)","Variant","Value"
"Albania","2100","Const. mortality (Medium)","1831.102"
"Albania","2100","Constant-fertility scenario","2079.559"
"Albania","2100","High variant","3759.501"
"Albania","2100","Instant replacement","3215.345"
"Albania","2100","Low variant","1139.938"
"Albania","2100","Medium variant","2216.616"
"Albania","2100","No change (Const. Fer.&Mor.&Zero migration)","2551.186"
"Albania","2100","Zero migration (Medium)","3242.526"
"Albania","2095","Const. mortality (Medium)","1889.966"
"Albania","2095","Constant-fertility scenario","2153.059"
"Albania","2095","High variant","3690.525"
"Albania","2095","Instant replacement","3210.377"
"Albania","2095","Low variant","1252.617"
"Albania","2095","Medium variant","2272.049"
"Albania","2095","No change (Const. Fer.&Mor.&Zero migration)","2636.221"
"Albania","2095","Zero migration (Medium)","3289.155"
"Albania","2090","Const. mortality (Medium)","1958.384"
"Albania","2090","Constant-fertility scenario","2246.644"
"Albania","2090","High variant","3633.001"
"Albania","2090","Instant replacement","3215.693"
"Albania","2090","Low variant","1390.988"
"Albania","2090","Medium variant","2345.026"
"Albania","2090","No change (Const. Fer.&Mor.&Zero migration)","2724.888"
"Albania","2090","Zero migration (Medium)","3344.538"
"Albania","2085","Const. mortality (Medium)","2045.71"
"Albania","2085","Constant-fertility scenario","2355.014"
"Albania","2085","High variant","3592.961"
"Albania","2085","Instant replacement","3234.063"
"Albania","2085","Low variant","1550.213"
"Albania","2085","Medium variant","2435.418"
"Albania","2085","No change (Const. Fer.&Mor.&Zero migration)","2821.252"
"Albania","2085","Zero migration (Medium)","3408.903"
"Albania","2080","Const. mortality (Medium)","2157.065"
"Albania","2080","Constant-fertility scenario","2468.598"
"Albania","2080","High variant","3574.586"
"Albania","2080","Instant replacement","3266.008"
"Albania","2080","Low variant","1721.16"
"Albania","2080","Medium variant","2538.87"
"Albania","2080","No change (Const. Fer.&Mor.&Zero migration)","2925.139"
"Albania","2080","Zero migration (Medium)","3477.965"
"Albania","2075","Const. mortality (Medium)","2287.091"
"Albania","2075","Constant-fertility scenario","2579.954"
"Albania","2075","High variant","3574.886"
"Albania","2075","Instant replacement","3307.967"
"Albania","2075","Low variant","1893.85"
"Albania","2075","Medium variant","2647.497"
"Albania","2075","No change (Const. Fer.&Mor.&Zero migration)","3031.26"
"Albania","2075","Zero migration (Medium)","3543.54"
"Albania","2070","Const. mortality (Medium)","2422.412"
"Albania","2070","Constant-fertility scenario","2687.563"
"Albania","2070","High variant","3582.098"
"Albania","2070","Instant replacement","3351.526"
"Albania","2070","Low variant","2061.211"
"Albania","2070","Medium variant","2752.246"
"Albania","2070","No change (Const. Fer.&Mor.&Zero migration)","3133.295"
"Albania","2070","Zero migration (Medium)","3596.153"
"Albania","2065","Const. mortality (Medium)","2550.277"
"Albania","2065","Constant-fertility scenario","2793.552"
"Albania","2065","High variant","3582.097"
"Albania","2065","Instant replacement","3386.917"
"Albania","2065","Low variant","2221.375"
"Albania","2065","Medium variant","2847.049"
"Albania","2065","No change (Const. Fer.&Mor.&Zero migration)","3226.441"
"Albania","2065","Zero migration (Medium)","3629.817"
"Albania","2060","Const. mortality (Medium)","2666.455"
"Albania","2060","Constant-fertility scenario","2897.132"
"Albania","2060","High variant","3568.212"
"Albania","2060","Instant replacement","3409.573"
"Albania","2060","Low variant","2376.298"
"Albania","2060","Medium variant","2931.459"
"Albania","2060","No change (Const. Fer.&Mor.&Zero migration)","3306.293"
"Albania","2060","Zero migration (Medium)","3645.028"
"Albania","2055","Const. mortality (Medium)","2776.295"
"Albania","2055","Constant-fertility scenario","2994.048"
"Albania","2055","High variant","3547.921"
"Albania","2055","Instant replacement","3424.809"
"Albania","2055","Low variant","2529.808"
"Albania","2055","Medium variant","3011.587"
"Albania","2055","No change (Const. Fer.&Mor.&Zero migration)","3368.691"
"Albania","2055","Zero migration (Medium)","3649.863"
"Albania","2050","Const. mortality (Medium)","2888.1"
"Albania","2050","Constant-fertility scenario","3080.663"
"Albania","2050","High variant","3536.042"
"Albania","2050","Instant replacement","3442.155"
"Albania","2050","Low variant","2682.687"
"Albania","2050","Medium variant","3094.079"
"Albania","2050","No change (Const. Fer.&Mor.&Zero migration)","3413.349"
"Albania","2050","Zero migration (Medium)","3653.233"
"Albania","2045","Const. mortality (Medium)","3004.946"
"Albania","2045","Constant-fertility scenario","3157.997"
"Albania","2045","High variant","3542.398"
"Albania","2045","Instant replacement","3468.505"
"Albania","2045","Low variant","2829.922"
"Albania","2045","Medium variant","3179.6"
"Albania","2045","No change (Const. Fer.&Mor.&Zero migration)","3445.958"
"Albania","2045","Zero migration (Medium)","3657.481"
"Albania","2040","Const. mortality (Medium)","3114.225"
"Albania","2040","Constant-fertility scenario","3224.234"
"Albania","2040","High variant","3556.069"
"Albania","2040","Instant replacement","3495.892"
"Albania","2040","Low variant","2957.114"
"Albania","2040","Medium variant","3254.704"
"Albania","2040","No change (Const. Fer.&Mor.&Zero migration)","3472.311"
"Albania","2040","Zero migration (Medium)","3654.567"
"Albania","2035","Const. mortality (Medium)","3197.401"
"Albania","2035","Constant-fertility scenario","3277.457"
"Albania","2035","High variant","3552.556"
"Albania","2035","Instant replacement","3505.473"
"Albania","2035","Low variant","3054.128"
"Albania","2035","Medium variant","3303.052"
"Albania","2035","No change (Const. Fer.&Mor.&Zero migration)","3488.74"
"Albania","2035","Zero migration (Medium)","3627.288"
"Albania","2030","Const. mortality (Medium)","3237.469"
"Albania","2030","Constant-fertility scenario","3305.574"
"Albania","2030","High variant","3506.089"
"Albania","2030","Instant replacement","3474.382"
"Albania","2030","Low variant","3115.064"
"Albania","2030","Medium variant","3310.564"
"Albania","2030","No change (Const. Fer.&Mor.&Zero migration)","3479.733"
"Albania","2030","Zero migration (Medium)","3560.951"
"Albania","2025","Const. mortality (Medium)","3237.793"
"Albania","2025","Constant-fertility scenario","3295.886"
"Albania","2025","High variant","3419.006"
"Albania","2025","Instant replacement","3404.531"
"Albania","2025","Low variant","3147.074"
"Albania","2025","Medium variant","3283.044"
"Albania","2025","No change (Const. Fer.&Mor.&Zero migration)","3429.844"
"Albania","2025","Zero migration (Medium)","3462.433"
"Albania","2020","Const. mortality (Medium)","3219.251"
"Albania","2020","Constant-fertility scenario","3252.28"
"Albania","2020","High variant","3318.332"
"Albania","2020","Instant replacement","3321.61"
"Albania","2020","Low variant","3167.037"
"Albania","2020","Medium variant","3242.687"
"Albania","2020","No change (Const. Fer.&Mor.&Zero migration)","3342.796"
"Albania","2020","Zero migration (Medium)","3356.228"
"Albania","2015","Const. mortality (Medium)","3188.772"
"Albania","2015","Constant-fertility scenario","3197.573"
"Albania","2015","High variant","3225.344"
"Albania","2015","Instant replacement","3234.927"
"Albania","2015","Low variant","3168.616"
"Albania","2015","Medium variant","3196.981"
"Albania","2015","No change (Const. Fer.&Mor.&Zero migration)","3243.054"
"Albania","2015","Zero migration (Medium)","3250.577"
"Albania","2010","Const. mortality (Medium)","3150.143"
"Albania","2010","Constant-fertility scenario","3150.143"
"Albania","2010","High variant","3150.143"
"Albania","2010","Instant replacement","3150.143"
"Albania","2010","Low variant","3150.143"
"Albania","2010","Medium variant","3150.143"
"Albania","2010","No change (Const. Fer.&Mor.&Zero migration)","3150.143"
"Albania","2010","Zero migration (Medium)","3150.143"
"Albania","2005","Medium variant","3196.13"
"Albania","2000","Medium variant","3304.948"
"Albania","1995","Medium variant","3357.858"
"Albania","1990","Medium variant","3446.882"
"Albania","1985","Medium variant","3077.93"
"Albania","1980","Medium variant","2734.776"
"Albania","1975","Medium variant","2426.592"
"Albania","1970","Medium variant","2138.966"
"Albania","1965","Medium variant","1874.302"
"Albania","1960","Medium variant","1618.829"
"Albania","1955","Medium variant","1390.137"
"Albania","1950","Medium variant","1214.489"
"Austria","2100","Const. mortality (Medium)","8349.169"
"Austria","2100","Constant-fertility scenario","7169.986"
"Austria","2100","High variant","14242.582"
"Austria","2100","Instant replacement","13072.241"
"Austria","2100","Low variant","6205.888"
"Austria","2100","Medium variant","9587.165"
"Austria","2100","No change (Const. Fer.&Mor.&Zero migration)","3405.751"
"Austria","2100","Zero migration (Medium)","5867.698"
"Austria","2095","Const. mortality (Medium)","8445.141"
"Austria","2095","Constant-fertility scenario","7415.818"
"Austria","2095","High variant","13825.188"
"Austria","2095","Instant replacement","12873.631"
"Austria","2095","Low variant","6472.96"
"Austria","2095","Medium variant","9610.301"
"Austria","2095","No change (Const. Fer.&Mor.&Zero migration)","3638.213"
"Austria","2095","Zero migration (Medium)","5962.975"
"Austria","2090","Const. mortality (Medium)","8514.165"
"Austria","2090","Constant-fertility scenario","7643.14"
"Austria","2090","High variant","13396.957"
"Austria","2090","Instant replacement","12645.483"
"Austria","2090","Low variant","6731.67"
"Austria","2090","Medium variant","9616.123"
"Austria","2090","No change (Const. Fer.&Mor.&Zero migration)","3884.361"
"Austria","2090","Zero migration (Medium)","6072.295"
"Austria","2085","Const. mortality (Medium)","8564.766"
"Austria","2085","Constant-fertility scenario","7850.706"
"Austria","2085","High variant","12961.681"
"Austria","2085","Instant replacement","12385.917"
"Austria","2085","Low variant","6978.694"
"Austria","2085","Medium variant","9606.699"
"Austria","2085","No change (Const. Fer.&Mor.&Zero migration)","4147.704"
"Austria","2085","Zero migration (Medium)","6197.68"
"Austria","2080","Const. mortality (Medium)","8605.93"
"Austria","2080","Constant-fertility scenario","8037.879"
"Austria","2080","High variant","12535.809"
"Austria","2080","Instant replacement","12104.545"
"Austria","2080","Low variant","7210.577"
"Austria","2080","Medium variant","9586.151"
"Austria","2080","No change (Const. Fer.&Mor.&Zero migration)","4432.147"
"Austria","2080","Zero migration (Medium)","6342.18"
"Austria","2075","Const. mortality (Medium)","8641.427"
"Austria","2075","Constant-fertility scenario","8199.025"
"Austria","2075","High variant","12133.221"
"Austria","2075","Instant replacement","11816.881"
"Austria","2075","Low variant","7418.574"
"Austria","2075","Medium variant","9552.931"
"Austria","2075","No change (Const. Fer.&Mor.&Zero migration)","4737.999"
"Austria","2075","Zero migration (Medium)","6502.465"
"Austria","2070","Const. mortality (Medium)","8669.857"
"Austria","2070","Constant-fertility scenario","8338.852"
"Austria","2070","High variant","11765.619"
"Austria","2070","Instant replacement","11546.717"
"Austria","2070","Low variant","7605.951"
"Austria","2070","Medium variant","9512.937"
"Austria","2070","No change (Const. Fer.&Mor.&Zero migration)","5061.908"
"Austria","2070","Zero migration (Medium)","6681.522"
"Austria","2065","Const. mortality (Medium)","8690.024"
"Austria","2065","Constant-fertility scenario","8467.697"
"Austria","2065","High variant","11430.272"
"Austria","2065","Instant replacement","11304.076"
"Austria","2065","Low variant","7784.058"
"Austria","2065","Medium variant","9473.498"
"Austria","2065","No change (Const. Fer.&Mor.&Zero migration)","5402.495"
"Austria","2065","Zero migration (Medium)","6883.76"
"Austria","2060","Const. mortality (Medium)","8709.881"
"Austria","2060","Constant-fertility scenario","8592.739"
"Austria","2060","High variant","11114.315"
"Austria","2060","Instant replacement","11076.382"
"Austria","2060","Low variant","7963.77"
"Austria","2060","Medium variant","9439.036"
"Austria","2060","No change (Const. Fer.&Mor.&Zero migration)","5765.539"
"Austria","2060","Zero migration (Medium)","7109.137"
"Austria","2055","Const. mortality (Medium)","8737.776"
"Austria","2055","Constant-fertility scenario","8708.227"
"Austria","2055","High variant","10802.426"
"Austria","2055","Instant replacement","10838.837"
"Austria","2055","Low variant","8141.511"
"Austria","2055","Medium variant","9403.581"
"Austria","2055","No change (Const. Fer.&Mor.&Zero migration)","6153.571"
"Austria","2055","Zero migration (Medium)","7345.612"
"Austria","2050","Const. mortality (Medium)","8770.531"
"Austria","2050","Constant-fertility scenario","8796.689"
"Austria","2050","High variant","10489.633"
"Austria","2050","Instant replacement","10572.187"
"Austria","2050","Low variant","8297.783"
"Austria","2050","Medium variant","9354.086"
"Austria","2050","No change (Const. Fer.&Mor.&Zero migration)","6552.488"
"Austria","2050","Zero migration (Medium)","7573.388"
"Austria","2045","Const. mortality (Medium)","8793.896"
"Austria","2045","Constant-fertility scenario","8843.941"
"Austria","2045","High variant","10187.166"
"Austria","2045","Instant replacement","10281.885"
"Austria","2045","Low variant","8411.673"
"Austria","2045","Medium variant","9281.924"
"Austria","2045","No change (Const. Fer.&Mor.&Zero migration)","6936.388"
"Austria","2045","Zero migration (Medium)","7779.08"
"Austria","2040","Const. mortality (Medium)","8809.584"
"Austria","2040","Constant-fertility scenario","8862.766"
"Austria","2040","High variant","9923.637"
"Austria","2040","Instant replacement","10016.224"
"Austria","2040","Low variant","8490.181"
"Austria","2040","Medium variant","9201.988"
"Austria","2040","No change (Const. Fer.&Mor.&Zero migration)","7285.799"
"Austria","2040","Zero migration (Medium)","7961.221"
"Austria","2035","Const. mortality (Medium)","8809.945"
"Austria","2035","Constant-fertility scenario","8856.1"
"Austria","2035","High variant","9689.665"
"Austria","2035","Instant replacement","9792.785"
"Austria","2035","Low variant","8537.127"
"Austria","2035","Medium variant","9112.781"
"Austria","2035","No change (Const. Fer.&Mor.&Zero migration)","7595.999"
"Austria","2035","Zero migration (Medium)","8119.928"
"Austria","2030","Const. mortality (Medium)","8786.265"
"Austria","2030","Constant-fertility scenario","8821.693"
"Austria","2030","High variant","9452.209"
"Austria","2030","Instant replacement","9574.692"
"Austria","2030","Low variant","8558.656"
"Austria","2030","Medium variant","9005.424"
"Austria","2030","No change (Const. Fer.&Mor.&Zero migration)","7864.551"
"Austria","2030","Zero migration (Medium)","8248.043"
"Austria","2025","Const. mortality (Medium)","8726.923"
"Austria","2025","Constant-fertility scenario","8753.6"
"Austria","2025","High variant","9185.216"
"Austria","2025","Instant replacement","9321.054"
"Austria","2025","Low variant","8555.888"
"Austria","2025","Medium variant","8870.552"
"Austria","2025","No change (Const. Fer.&Mor.&Zero migration)","8081.335"
"Austria","2025","Zero migration (Medium)","8334.169"
"Austria","2020","Const. mortality (Medium)","8635.826"
"Austria","2020","Constant-fertility scenario","8655.329"
"Austria","2020","High variant","8894.466"
"Austria","2020","Instant replacement","9031.915"
"Austria","2020","Low variant","8537.536"
"Austria","2020","Medium variant","8716"
"Austria","2020","No change (Const. Fer.&Mor.&Zero migration)","8241.275"
"Austria","2020","Zero migration (Medium)","8380.385"
"Austria","2015","Const. mortality (Medium)","8526.899"
"Austria","2015","Constant-fertility scenario","8536.979"
"Austria","2015","High variant","8626.242"
"Austria","2015","Instant replacement","8723.641"
"Austria","2015","Low variant","8489.278"
"Austria","2015","Medium variant","8557.761"
"Austria","2015","No change (Const. Fer.&Mor.&Zero migration)","8348.29"
"Austria","2015","Zero migration (Medium)","8399.803"
"Austria","2010","Const. mortality (Medium)","8401.924"
"Austria","2010","Constant-fertility scenario","8401.924"
"Austria","2010","High variant","8401.924"
"Austria","2010","Instant replacement","8401.924"
"Austria","2010","Low variant","8401.924"
"Austria","2010","Medium variant","8401.924"
"Austria","2010","No change (Const. Fer.&Mor.&Zero migration)","8401.924"
"Austria","2010","Zero migration (Medium)","8401.924"
"Austria","2005","Medium variant","8238.604"
"Austria","2000","Medium variant","8020.262"
"Austria","1995","Medium variant","7985.372"
"Austria","1990","Medium variant","7670.001"
"Austria","1985","Medium variant","7575.891"
"Austria","1980","Medium variant","7555.154"
"Austria","1975","Medium variant","7618.82"
"Austria","1970","Medium variant","7489.485"
"Austria","1965","Medium variant","7285.375"
"Austria","1960","Medium variant","7056.28"
"Austria","1955","Medium variant","6959.541"
"Austria","1950","Medium variant","6937.818"
"Belarus","2100","Const. mortality (Medium)","4765.365"
"Belarus","2100","Constant-fertility scenario","3724.142"
"Belarus","2100","High variant","9675.249"
"Belarus","2100","Instant replacement","8859.979"
"Belarus","2100","Low variant","2909.863"
"Belarus","2100","Medium variant","5600.846"
"Belarus","2100","No change (Const. Fer.&Mor.&Zero migration)","3154.126"
"Belarus","2100","Zero migration (Medium)","5777.619"
"Belarus","2095","Const. mortality (Medium)","4895.039"
"Belarus","2095","Constant-fertility scenario","3955.649"
"Belarus","2095","High variant","9445.331"
"Belarus","2095","Instant replacement","8803.115"
"Belarus","2095","Low variant","3134.179"
"Belarus","2095","Medium variant","5699.771"
"Belarus","2095","No change (Const. Fer.&Mor.&Zero migration)","3391.898"
"Belarus","2095","Zero migration (Medium)","5876.342"
"Belarus","2090","Const. mortality (Medium)","5037.51"
"Belarus","2090","Constant-fertility scenario","4194.965"
"Belarus","2090","High variant","9229.612"
"Belarus","2090","Instant replacement","8744.795"
"Belarus","2090","Low variant","3378.798"
"Belarus","2090","Medium variant","5804.685"
"Belarus","2090","No change (Const. Fer.&Mor.&Zero migration)","3645.946"
"Belarus","2090","Zero migration (Medium)","5979.364"
"Belarus","2085","Const. mortality (Medium)","5188.467"
"Belarus","2085","Constant-fertility scenario","4446.92"
"Belarus","2085","High variant","9025.706"
"Belarus","2085","Instant replacement","8682.455"
"Belarus","2085","Low variant","3646.855"
"Belarus","2085","Medium variant","5918.933"
"Belarus","2085","No change (Const. Fer.&Mor.&Zero migration)","3914.527"
"Belarus","2085","Zero migration (Medium)","6090.073"
"Belarus","2080","Const. mortality (Medium)","5348.876"
"Belarus","2080","Constant-fertility scenario","4719.734"
"Belarus","2080","High variant","8835.502"
"Belarus","2080","Instant replacement","8614.272"
"Belarus","2080","Low variant","3943.578"
"Belarus","2080","Medium variant","6048.654"
"Belarus","2080","No change (Const. Fer.&Mor.&Zero migration)","4200.695"
"Belarus","2080","Zero migration (Medium)","6214.684"
"Belarus","2075","Const. mortality (Medium)","5529.122"
"Belarus","2075","Constant-fertility scenario","5018.333"
"Belarus","2075","High variant","8671.228"
"Belarus","2075","Instant replacement","8548.274"
"Belarus","2075","Low variant","4271.924"
"Belarus","2075","Medium variant","6200.882"
"Belarus","2075","No change (Const. Fer.&Mor.&Zero migration)","4512.205"
"Belarus","2075","Zero migration (Medium)","6360.294"
"Belarus","2070","Const. mortality (Medium)","5743.367"
"Belarus","2070","Constant-fertility scenario","5341.398"
"Belarus","2070","High variant","8552.711"
"Belarus","2070","Instant replacement","8506.094"
"Belarus","2070","Low variant","4630.635"
"Belarus","2070","Medium variant","6381.673"
"Belarus","2070","No change (Const. Fer.&Mor.&Zero migration)","4855.216"
"Belarus","2070","Zero migration (Medium)","6532.97"
"Belarus","2065","Const. mortality (Medium)","5999.098"
"Belarus","2065","Constant-fertility scenario","5683.164"
"Belarus","2065","High variant","8492.711"
"Belarus","2065","Instant replacement","8509.523"
"Belarus","2065","Low variant","5014.983"
"Belarus","2065","Medium variant","6592.721"
"Belarus","2065","No change (Const. Fer.&Mor.&Zero migration)","5229.064"
"Belarus","2065","Zero migration (Medium)","6734.362"
"Belarus","2060","Const. mortality (Medium)","6291.628"
"Belarus","2060","Constant-fertility scenario","6040.983"
"Belarus","2060","High variant","8486.137"
"Belarus","2060","Instant replacement","8561.967"
"Belarus","2060","Low variant","5422.231"
"Belarus","2060","Medium variant","6831.708"
"Belarus","2060","No change (Const. Fer.&Mor.&Zero migration)","5627.991"
"Belarus","2060","Zero migration (Medium)","6962.144"
"Belarus","2055","Const. mortality (Medium)","6606.972"
"Belarus","2055","Constant-fertility scenario","6414.887"
"Belarus","2055","High variant","8509.708"
"Belarus","2055","Instant replacement","8639.86"
"Belarus","2055","Low variant","5850.306"
"Belarus","2055","Medium variant","7090.508"
"Belarus","2055","No change (Const. Fer.&Mor.&Zero migration)","6045.544"
"Belarus","2055","Zero migration (Medium)","7208.308"
"Belarus","2050","Const. mortality (Medium)","6932.283"
"Belarus","2050","Constant-fertility scenario","6802.237"
"Belarus","2050","High variant","8542.555"
"Belarus","2050","Instant replacement","8710.522"
"Belarus","2050","Low variant","6294.208"
"Belarus","2050","Medium variant","7359.467"
"Belarus","2050","No change (Const. Fer.&Mor.&Zero migration)","6475.613"
"Belarus","2050","Zero migration (Medium)","7463.491"
"Belarus","2045","Const. mortality (Medium)","7263.872"
"Belarus","2045","Constant-fertility scenario","7190.526"
"Belarus","2045","High variant","8584.563"
"Belarus","2045","Instant replacement","8761.025"
"Belarus","2045","Low variant","6740.234"
"Belarus","2045","Medium variant","7630.493"
"Belarus","2045","No change (Const. Fer.&Mor.&Zero migration)","6910.265"
"Belarus","2045","Zero migration (Medium)","7719.954"
"Belarus","2040","Const. mortality (Medium)","7604.936"
"Belarus","2040","Constant-fertility scenario","7567.898"
"Belarus","2040","High variant","8659.591"
"Belarus","2040","Instant replacement","8822.663"
"Belarus","2040","Low variant","7176.301"
"Belarus","2040","Medium variant","7905.33"
"Belarus","2040","No change (Const. Fer.&Mor.&Zero migration)","7340.251"
"Belarus","2040","Zero migration (Medium)","7980.651"
"Belarus","2035","Const. mortality (Medium)","7960.174"
"Belarus","2035","Constant-fertility scenario","7931.205"
"Belarus","2035","High variant","8788.673"
"Belarus","2035","Instant replacement","8942.119"
"Belarus","2035","Low variant","7600.446"
"Belarus","2035","Medium variant","8191.531"
"Belarus","2035","No change (Const. Fer.&Mor.&Zero migration)","7759.556"
"Belarus","2035","Zero migration (Medium)","8253.105"
"Belarus","2030","Const. mortality (Medium)","8322.439"
"Belarus","2030","Constant-fertility scenario","8285.12"
"Belarus","2030","High variant","8959.479"
"Belarus","2030","Instant replacement","9118.354"
"Belarus","2030","Low variant","8017.778"
"Belarus","2030","Medium variant","8488.334"
"Belarus","2030","No change (Const. Fer.&Mor.&Zero migration)","8166.249"
"Belarus","2030","Zero migration (Medium)","8536.419"
"Belarus","2025","Const. mortality (Medium)","8664.954"
"Belarus","2025","Constant-fertility scenario","8629.827"
"Belarus","2025","High variant","9121.761"
"Belarus","2025","Instant replacement","9290.103"
"Belarus","2025","Low variant","8423.814"
"Belarus","2025","Medium variant","8772.785"
"Belarus","2025","No change (Const. Fer.&Mor.&Zero migration)","8556.457"
"Belarus","2025","Zero migration (Medium)","8807.658"
"Belarus","2020","Const. mortality (Medium)","8968.253"
"Belarus","2020","Constant-fertility scenario","8951.227"
"Belarus","2020","High variant","9239.011"
"Belarus","2020","Instant replacement","9407.966"
"Belarus","2020","Low variant","8815.933"
"Belarus","2020","Medium variant","9027.469"
"Belarus","2020","No change (Const. Fer.&Mor.&Zero migration)","8914.197"
"Belarus","2020","Zero migration (Medium)","9049.768"
"Belarus","2015","Const. mortality (Medium)","9237.687"
"Belarus","2015","Constant-fertility scenario","9235.031"
"Belarus","2015","High variant","9345.689"
"Belarus","2015","Instant replacement","9468.212"
"Belarus","2015","Low variant","9173.645"
"Belarus","2015","Medium variant","9259.666"
"Belarus","2015","No change (Const. Fer.&Mor.&Zero migration)","9223.667"
"Belarus","2015","Zero migration (Medium)","9270.3"
"Belarus","2010","Const. mortality (Medium)","9491.072"
"Belarus","2010","Constant-fertility scenario","9491.07"
"Belarus","2010","High variant","9491.07"
"Belarus","2010","Instant replacement","9491.072"
"Belarus","2010","Low variant","9491.07"
"Belarus","2010","Medium variant","9491.07"
"Belarus","2010","No change (Const. Fer.&Mor.&Zero migration)","9491.072"
"Belarus","2010","Zero migration (Medium)","9491.072"
"Belarus","2005","Medium variant","9664.714"
"Belarus","2000","Medium variant","9981.46"
"Belarus","1995","Medium variant","10189.075"
"Belarus","1990","Medium variant","10259.86"
"Belarus","1985","Medium variant","9998.629"
"Belarus","1980","Medium variant","9658.658"
"Belarus","1975","Medium variant","9367.178"
"Belarus","1970","Medium variant","9039.648"
"Belarus","1965","Medium variant","8607.137"
"Belarus","1960","Medium variant","8190.113"
"Belarus","1955","Medium variant","7803.585"
"Belarus","1950","Medium variant","7745.003"
"Belgium","2100","Const. mortality (Medium)","11009.101"
"Belgium","2100","Constant-fertility scenario","11386.871"
"Belgium","2100","High variant","18945.94"
"Belgium","2100","Instant replacement","14314.512"
"Belgium","2100","Low variant","7994.425"
"Belgium","2100","Medium variant","12593.836"
"Belgium","2100","No change (Const. Fer.&Mor.&Zero migration)","7881.747"
"Belgium","2100","Zero migration (Medium)","10206.993"
"Belgium","2095","Const. mortality (Medium)","11086.862"
"Belgium","2095","Constant-fertility scenario","11478.183"
"Belgium","2095","High variant","18294.965"
"Belgium","2095","Instant replacement","14169.877"
"Belgium","2095","Low variant","8317.689"
"Belgium","2095","Medium variant","12570.23"
"Belgium","2095","No change (Const. Fer.&Mor.&Zero migration)","8059.678"
"Belgium","2095","Zero migration (Medium)","10231.224"
"Belgium","2090","Const. mortality (Medium)","11145.314"
"Belgium","2090","Constant-fertility scenario","11551.462"
"Belgium","2090","High variant","17653.785"
"Belgium","2090","Instant replacement","14009.501"
"Belgium","2090","Low variant","8631.939"
"Belgium","2090","Medium variant","12532.242"
"Belgium","2090","No change (Const. Fer.&Mor.&Zero migration)","8237.798"
"Belgium","2090","Zero migration (Medium)","10258.963"
"Belgium","2085","Const. mortality (Medium)","11183.066"
"Belgium","2085","Constant-fertility scenario","11609.676"
"Belgium","2085","High variant","17017.968"
"Belgium","2085","Instant replacement","13832.083"
"Belgium","2085","Low variant","8935.039"
"Belgium","2085","Medium variant","12481.054"
"Belgium","2085","No change (Const. Fer.&Mor.&Zero migration)","8415.283"
"Belgium","2085","Zero migration (Medium)","10290.624"
"Belgium","2080","Const. mortality (Medium)","11205.159"
"Belgium","2080","Constant-fertility scenario","11654.63"
"Belgium","2080","High variant","16396.124"
"Belgium","2080","Instant replacement","13639.558"
"Belgium","2080","Low variant","9223.969"
"Belgium","2080","Medium variant","12419.069"
"Belgium","2080","No change (Const. Fer.&Mor.&Zero migration)","8595.024"
"Belgium","2080","Zero migration (Medium)","10327.664"
"Belgium","2075","Const. mortality (Medium)","11218.063"
"Belgium","2075","Constant-fertility scenario","11684.071"
"Belgium","2075","High variant","15805.492"
"Belgium","2075","Instant replacement","13438.348"
"Belgium","2075","Low variant","9491.335"
"Belgium","2075","Medium variant","12346.989"
"Belgium","2075","No change (Const. Fer.&Mor.&Zero migration)","8779.496"
"Belgium","2075","Zero migration (Medium)","10370.04"
"Belgium","2070","Const. mortality (Medium)","11229.238"
"Belgium","2070","Constant-fertility scenario","11701.946"
"Belgium","2070","High variant","15268.114"
"Belgium","2070","Instant replacement","13244.89"
"Belgium","2070","Low variant","9738.251"
"Belgium","2070","Medium variant","12273.111"
"Belgium","2070","No change (Const. Fer.&Mor.&Zero migration)","8971.32"
"Belgium","2070","Zero migration (Medium)","10425.055"
"Belgium","2065","Const. mortality (Medium)","11245.111"
"Belgium","2065","Constant-fertility scenario","11718.123"
"Belgium","2065","High variant","14791.143"
"Belgium","2065","Instant replacement","13074.338"
"Belgium","2065","Low variant","9974.741"
"Belgium","2065","Medium variant","12207.907"
"Belgium","2065","No change (Const. Fer.&Mor.&Zero migration)","9175.755"
"Belgium","2065","Zero migration (Medium)","10502.327"
"Belgium","2060","Const. mortality (Medium)","11270.96"
"Belgium","2060","Constant-fertility scenario","11740.274"
"Belgium","2060","High variant","14360.696"
"Belgium","2060","Instant replacement","12926.46"
"Belgium","2060","Low variant","10211.847"
"Belgium","2060","Medium variant","12156.138"
"Belgium","2060","No change (Const. Fer.&Mor.&Zero migration)","9399.921"
"Belgium","2060","Zero migration (Medium)","10605.406"
"Belgium","2055","Const. mortality (Medium)","11306.232"
"Belgium","2055","Constant-fertility scenario","11765.171"
"Belgium","2055","High variant","13951.211"
"Belgium","2055","Instant replacement","12784.389"
"Belgium","2055","Low variant","10448.816"
"Belgium","2055","Medium variant","12110.174"
"Belgium","2055","No change (Const. Fer.&Mor.&Zero migration)","9645.699"
"Belgium","2055","Zero migration (Medium)","10724.6"
"Belgium","2050","Const. mortality (Medium)","11343.253"
"Belgium","2050","Constant-fertility scenario","11778.875"
"Belgium","2050","High variant","13548.544"
"Belgium","2050","Instant replacement","12627.871"
"Belgium","2050","Low variant","10669.207"
"Belgium","2050","Medium variant","12055.434"
"Belgium","2050","No change (Const. Fer.&Mor.&Zero migration)","9903.062"
"Belgium","2050","Zero migration (Medium)","10842.15"
